Doc,True idx,True Target,Candidate idx,Max Candidate,Position,True Target JLL,Max Candidate JLL,ABS diff
501,47,clearly the best out of,48,the best out of the ,1,-45.34187,-10.65622,34.68565
502,46,despair the best of the,47,the best of the film ,1,-40.80694,-4.36545,36.44149
503,45,this movie bad i was,45,this movie bad i was ,0,-21.88184,-21.88184,0
504,51,is probably best remembered by,52,probably best remembered by american ,1,-50.26198,-19.26569,30.99629
505,47,sloppy dialogue boring futuristic fx,0,          ,-47,-63.81903,-10.1757,53.64333
506,45,of the best animation in,29,short animated film most written ,-16,-41.0772,-27.77602,13.30118
507,77,feel so disappointed by this,78,so disappointed by this piece ,1,-28.9673,-11.99242,16.97488
508,47,at his best mickey rourke,0,          ,-47,-50.97284,-5.70879,45.26405
509,68,was not predictable like most,69,not predictable like most story ,1,-38.85442,-20.87958,17.97484
510,47,hem and badly pilling faic,19,    to make him ,-28,-43.57569,-10.42984,33.14585
511,44,man doing funny thing that,45,doing funny thing that are ,1,-34.88575,-18.1458,16.73995
512,48,inept and dull movie in,48,inept and dull movie in ,0,-32.96227,-32.96227,0
513,53,talk and unfunny bit of,54,and unfunny bit of business ,1,-22.98073,-20.44996,2.53077
514,47,programmer the best thing about,48,the best thing about it ,1,-47.24049,-3.95909,43.2814
515,46,it was amazing the first,62,its amazing now the play ,16,-36.17531,-17.4142,18.76111
516,65,really his best work which,66,his best work which made ,1,-23.97756,-10.98351,12.99405
517,45,of air unfortunately it look,0,          ,-45,-38.45431,-15.14307,23.31124
518,53,in the worst way the,54,the worst way the little ,1,-44.25217,-11.60193,32.65024
519,48,fido is best described as,49,is best described as an ,1,-50.05577,-17.49665,32.55912
520,64,read i loved that this,65,i loved that this program ,1,-35.94057,-18.85409,17.08648
521,42,was not funny it was,58,just wasted 2 hour of ,16,-42.83327,-12.37785,30.45542
522,-1,is a great film,63,you want to be scared ,64,-47.67453,-31.21257,16.46196
523,46,separate scenes terrible music by,11,      but no ,-35,-45.39632,-27.83196,17.56436
524,48,making is solid and the,49,is solid and the character ,1,-31.59101,-15.17468,16.41633
525,69,is an insult to true,70,an insult to true cult ,1,-22.21674,-21.01597,1.20077
526,44,find it funny at all,45,it funny at all i ,1,-35.68994,-20.59576,15.09418
527,47,to be funny and amusing,48,be funny and amusing but ,1,-25.33703,-14.9499,10.38713
528,51,person do awful thing they,56,would not really do oh ,5,-32.39052,-24.4352,7.95532
529,48,was just horrible sounded like,11,      my sister ,-37,-28.82713,-21.42647,7.40066
530,62,remotely as funny tip for,63,remotely as funny for those ,1,-27.01884,-17.17277,9.84607
531,42,making a great deal of,42,making a great deal of ,0,-20.32742,-20.32742,0
532,-1,easily the worst movie i,68,is a lot of gratuitous ,69,-49.41024,-25.9982,23.41204
533,43,be the worst thing to,44,the worst thing to ever ,1,-33.19933,-13.63617,19.56316
534,43,a great gem this is,54,is fun to watch yes ,11,-26.29651,-15.41276,10.88375
535,44,in a mess of a,45,a mess of a movie ,1,-30.47472,-18.49625,11.97847
536,44,sophomoric at best color me,34,remotely funny about this movie ,-10,-40.63074,-20.1968,20.43394
537,48,of the best composer she,47,as one of the best ,-1,-31.95755,-23.01009,8.94746
538,45,thriller not surprisingly so have,46,not surprisingly so have all ,1,-36.22541,-27.81469,8.41072
539,43,vovochka too annoying to sympathize,9,    on the child ,-34,-50.90236,-22.51771,28.38465
540,43,sets a bad example of,20,if i was a man ,-23,-42.23792,-25.21119,17.02673
541,46,is not funny ever the,47,not funny ever the movie ,1,-42.40426,-21.07264,21.33162
542,48,about how funny the next,49,how funny the next line ,1,-22.66521,-19.32799,3.33722
543,43,one should waste their time,44,should waste their time watching ,1,-31.07002,-23.43034,7.63968
544,42,is too dull and monotonous,44,too dull and in either ,2,-31.69447,-17.56548,14.12899
545,48,i sure loved that advertisement,57,one part in the movie ,9,-45.51322,-27.3011,18.21212
546,46,of the best horse riding,62,what makes a film good ,16,-35.005,-27.70338,7.30162
547,54,yet unintentionally funny climax in,55,unintentionally funny climax in which ,1,-34.00147,-12.06577,21.9357
548,68,not the worst film ever,68,not the worst film ever ,0,-22.40475,-22.40475,0
549,48,material is wasted on crew,41,so boring and a lot ,-7,-33.4683,-15.17576,18.29254
550,45,gives a refreshing view of,46,a refreshing view of cop ,1,-50.89583,-21.40771,29.48812
551,47,hero a fantastic work of,48,a fantastic work of art ,1,-51.12845,-13.91217,37.21628
552,46,cinema history unfortunately after the,47,history unfortunately after the promising ,1,-30.20792,-15.06488,15.14304
553,47,granted the best of the,0,          ,-47,-42.82243,-11.53596,31.28647
554,60,martha is badly underdeveloped and,28,      with review ,-32,-37.87264,-21.62173,16.25091
555,44,the woman annoying the story,45,woman annoying the story uninteresting ,1,-23.02984,-20.07644,2.9534
556,-1,rating 7 5/10 grade b,73,5 10 grade b please ,74,-59.66873,-13.22005,46.44868
557,74,is remarkably dull end of,75,is dull end of the ,1,-50.55241,-21.75136,28.80105
558,71,perhaps the best clue would,72,the best clue would have ,1,-43.83439,-28.14646,15.68793
559,44,loved the film,0,          ,-44,-16.4765,-6.26449,10.21201
560,49,plot 2 annoying style over,13,    for the character ,-36,-38.71193,-15.32075,23.39118
561,46,a great movie lansbury,47,  a great movie and ,1,-14.85205,-11.07342,3.77863
562,77,not recommended best to avoid,0,          ,-77,-35.63559,-9.59325,26.04234
563,50,horror and awful colors dear,16,      was in ,-34,-45.22235,-20.43732,24.78503
564,54,in film noir a genre,0,          ,-54,-34.00103,-11.43647,22.56456
565,51,about as funny as it,52,as funny as it gets ,1,-19.70886,-10.80556,8.9033
566,44,of the funniest and most,45,the funniest and most entertaining ,1,-50.02853,-12.98194,37.04659
567,-1,dialogue starts superb,51,    no sound the ,52,-83.92886,-28.64217,55.28669
568,46,it is best to pass,47,is best to pass over ,1,-24.55269,-16.73132,7.82137
569,53,their mutual funny friend pauly,55,their funny friend and try ,2,-39.91704,-15.73029,24.18675
570,45,down right awful and btw,35,when compared to the original ,-10,-54.20845,-22.18935,32.0191
571,48,flat out laughable much like,11,    in my opinion ,-37,-37.80194,-23.75318,14.04876
572,56,itself the best and most,69,you really do not know ,13,-44.05245,-18.88151,25.17094
573,-1,is still excellent it had,0,          ,1,-83.56786,-8.17654,75.39132
574,-1,is a great flick made,68,so if you like dark ,69,-32.50975,-24.28564,8.22411
575,49,of the best computer expert,70,america to his of in ,21,-41.31463,-31.50351,9.81112
576,44,still pretty awful repugnant stuff,36,as bad as what movie ,-8,-33.44713,-11.52723,21.9199
577,50,a really annoying iconoclast film,51,a really annoying film maker ,1,-31.95894,-23.41515,8.54379
578,42,series was funny ever not,64,was funny it was simply ,22,-38.84292,-15.11071,23.73221
579,48,are some great actor here,49,some great actor here but ,1,-38.43042,-12.88147,25.54895
580,46,it is fun to play,47,is fun to play along ,1,-20.13858,-16.73973,3.39885
581,47,by the terrible overacting in,0,          ,-47,-34.60976,-20.04386,14.5659
582,43,was just amazing his soliloquy,57,is rare for a film ,14,-32.84551,-20.28663,12.55888
583,48,to his bad guy role,49,his bad guy role sweet ,1,-32.33469,-13.79881,18.53588
584,-1,of the worst in x,77,as one of the worst ,78,-30.22582,-29.64875,0.57707
585,46,side quite boring to my,33,are great and well the ,-13,-37.09594,-18.67648,18.41946
586,47,told how annoying christmas music,38,person are any more than ,-9,-33.53341,-20.17939,13.35402
587,51,in a funny bit when,52,a funny bit when he ,1,-32.51661,-11.15995,21.35666
588,43,see some badly made film,71,really bad the acting is ,28,-26.87457,-14.04194,12.83263
589,46,myself a great job of,47,a great job of not ,1,-24.15084,-21.96062,2.19022
590,49,plausibility and unfortunately also struggles,44,    premise that rate ,-5,-46.21468,-22.00923,24.20545
591,49,give a perfect answer urgency,44,you do not have time ,-5,-45.24274,-29.64167,15.60107
592,43,tonk too bad they are,44,too bad they are all ,1,-44.47962,-10.06324,34.41638
593,-1,definitely weird 7/10,62,not know this is kind ,63,-51.31034,-25.09885,26.21149
594,47,is patently awful nothing makes,70,as well as a cop ,23,-22.52498,-21.30779,1.21719
595,46,oscar for best supporting role,47,for best supporting role was ,1,-26.54689,-26.20952,0.33737
596,49,movie this awful in a,51,this awful in a long ,2,-39.68875,-18.79318,20.89557
597,44,is given awful writing material,0,          ,-44,-45.60203,-21.33741,24.26462
598,48,actually the best thing in,49,the best thing in maybe ,1,-34.49182,-12.75476,21.73706
599,46,of the best in his,47,the best in his career ,1,-40.31604,-18.71182,21.60422
600,44,was utterly disappointed of the,45,utterly disappointed of the film ,1,-24.44862,-13.8103,10.63832
601,45,the working poor single with,0,          ,-45,-35.38618,-22.66465,12.72153
602,47,that were funny like the,48,were funny like the and ,1,-30.09954,-20.04377,10.05577
603,46,be quite funny in an,45,can be quite funny in ,-1,-27.5857,-20.76265,6.82305
604,48,better and enjoyable i found,49,and enjoyable i found jeremy ,1,-30.33401,-15.15061,15.1834
605,48,these two fantastic actress that,49,two fantastic actress that one ,1,-36.2594,-20.35471,15.90469
606,43,again the bad guy has,44,the bad guy has his ,1,-36.83324,-15.1667,21.66654
607,69,is a great movie it,70,a great movie it kevin ,1,-26.06991,-14.42169,11.64822
608,74,beer and unfortunately for theater,75,and unfortunately for theater is ,1,-36.37227,-27.45199,8.92028
609,48,seemed rather boring suddenly turns,0,          ,-48,-27.01343,-18.0731,8.94033
610,42,it was funny so if,43,was funny so if you ,1,-35.47283,-22.76295,12.70988
611,44,being a great sergio martino,46,being a great directed is ,2,-40.99102,-26.74952,14.2415
612,53,movie include great bonus material,21,name it you do not ,-32,-53.68119,-27.12986,26.55133
613,49,paul was great but selma,76,hard to be the character ,27,-57.15866,-25.50601,31.65265
614,42,such an awful film i,43,an awful film i rented ,1,-25.95125,-16.81809,9.13316
615,69,is an insult to everyone's,71,an insult to intelligence the ,2,-49.19391,-17.23746,31.95645
616,44,and have recommended it to,45,have recommended it to every ,1,-41.55043,-14.83641,26.71402
617,46,be so bad hell i,47,so bad hell i like ,1,-27.35793,-18.04573,9.3122
618,49,is an awful ignoble american,30,was not a real the ,-19,-27.07441,-24.39458,2.67983
619,46,be the best frank capra/preston,65,man i was a male ,19,-30.48121,-27.01952,3.46169
620,44,my very favorite actor jame,0,          ,-44,-33.87738,-8.53144,25.34594
621,74,what a waste of effort,75,a waste of effort poor ,1,-22.61722,-22.27718,0.34004
622,-1,watch it 1/10,68,very bad acting very bad ,69,-36.96723,-20.34931,16.61792
623,45,film as solid as dog,0,          ,-45,-36.7465,-7.48996,29.25654
624,48,original and funny the first,49,and funny the first half ,1,-31.70026,-19.60985,12.09041
625,51,culture is wonderful there is,52,is wonderful there is no ,1,-45.24221,-16.20444,29.03777
626,52,weak the worst part is,53,the worst part is when ,1,-38.01636,-10.10763,27.90873
627,-1,dialogue and terrible lapse in,70,      and that ,71,-38.9652,-24.59655,14.36865
628,63,his pretty funny social terror,64,pretty funny social terror i ,1,-31.9276,-15.68173,16.24587
629,44,movie was terrible downright terrible,35,being disappointed i will first ,-9,-40.36929,-17.98066,22.38863
630,-1,episode a 9/10,53,i think this could easily ,54,-43.78872,-37.65148,6.13724
631,48,so damned funny that you,49,so funny that you will ,1,-41.62221,-12.24698,29.37523
632,47,a hilariously funny yet twisted,48,a funny yet twisted film ,1,-36.72331,-15.91197,20.81134
633,44,of the best sci fi,43,one of the best sci ,-1,-46.63102,-28.24561,18.38541
634,46,man a poor man without,48,a poor man without any ,2,-33.28655,-19.31432,13.97223
635,43,did a fantastic job he,75,great bad guy with a ,32,-35.64322,-24.42376,11.21946
636,42,acting even worse writing after,43,even worse writing after watching ,1,-33.55253,-16.04133,17.5112
637,46,show how pathetic a life,47,how pathetic a life had ,1,-26.83392,-12.60455,14.22937
638,47,after her insult maggie by,75,are great together is always ,28,-42.73896,-33.02545,9.71351
639,47,of the best filmmaker in,48,the best filmmaker in the ,1,-43.20244,-11.78723,31.41521
640,66,it was boring after you,67,was boring after you see ,1,-29.85598,-23.17894,6.67704
641,44,so quite badly it was,45,quite badly it was sort ,1,-32.42917,-18.06499,14.36418
642,47,lame and cheap munchy is,49,lame and cheap is another ,2,-41.4816,-23.42941,18.05219
643,70,role with great tenderness and,0,          ,-70,-25.4613,-14.89674,10.56456
644,45,not the best actor of,44,if not the best actor ,-1,-31.47453,-24.76207,6.71246
645,44,she looks amazing i do,78,a great ending that will ,34,-32.90881,-22.08351,10.8253
646,45,not any worse than other,46,any worse than other typical ,1,-26.03495,-16.29551,9.73944
647,44,easily the worst automotive movie,76,special effect and lame character ,32,-39.46809,-23.38823,16.07986
648,48,life the excellent acting of,49,the excellent acting of robert ,1,-38.9332,-18.81845,20.11475
649,45,just a perfect example of,46,a perfect example of why ,1,-24.72742,-24.43638,0.29104
650,-1,was somewhat disappointed that most,0,          ,1,-25.74906,-25.74906,0
651,49,it is worse than a,51,is worse than a home ,2,-33.58353,-13.14371,20.43982
652,43,is really refreshing if you,44,really refreshing if you have ,1,-27.599,-12.79031,14.80869
653,-1,with the best ly to,0,          ,1,-25.74906,-25.74906,0
654,42,camera space funny stuff however,47,the real great moment comes ,5,-46.28165,-28.2536,18.02805
655,71,dull and boring with some,72,and boring with some and ,1,-25.22125,-19.79385,5.4274
656,44,to be wasted and squandered,46,be wasted and it is ,2,-40.33919,-22.73168,17.60751
657,-1,for a fun movie,63,recommend this movie the comic ,64,-42.34906,-27.46559,14.88347
658,51,are quite funny bernard hepton,20,      is not ,-31,-57.39675,-15.66395,41.7328
659,-1,lake is 7/10,76,for return to by the ,77,-49.63697,-26.2858,23.35117
660,45,incredible scenery great soundtrack i,0,          ,-45,-52.53204,-21.85174,30.6803
661,50,in their best man john,51,their best man john seagal ,1,-36.01292,-19.99917,16.01375
662,-1,average of 8/10 for screenplay,0,          ,1,-60.4885,-1.56406,58.92444
663,51,film i enjoyed this i,52,i enjoyed this i especially ,1,-29.36122,-18.015,11.34622
664,75,that i wasted two hour,78,two hour of it watching ,3,-29.09253,-20.36607,8.72646
665,44,monologue were dull but delivered,32,it could be the for ,-12,-36.26313,-24.51137,11.75176
666,44,was the best slasher movie,45,the best slasher movie that ,1,-36.45311,-9.22331,27.2298
667,55,the most incredible bit is,56,most incredible bit is when ,1,-31.95865,-22.52748,9.43117
668,46,portrayed as poor little innocent,21,as bad person who happened ,-25,-27.68697,-21.92113,5.76584
669,44,of the best theater on,45,the best theater on film ,1,-41.35856,-24.54807,16.81049
670,-1,i just loved the scene,78,  have some merit in ,79,-58.79045,-58.79045,0
671,50,wisdom is laughable move without,51,is laughable move without thinking ,1,-39.81917,-22.00194,17.81723
672,47,action hero unfortunately arnold schwarznegger,35,  one of my favorite ,-12,-31.20369,-22.04188,9.16181
673,43,though really boring and poorly,44,really boring and poorly written ,1,-34.26552,-8.19587,26.06965
674,44,given an annoying voice when,45,an annoying voice when he ,1,-31.37483,-17.32318,14.05165
675,44,not the best but even,45,the best but even better ,1,-21.21277,-20.29196,0.92081
676,43,was an excellent idea and,44,an excellent idea and the ,1,-38.84061,-15.89845,22.94216
677,46,this a refreshing change as,47,a refreshing change as i ,1,-38.27822,-7.07589,31.20233
678,46,become a bad joke donald,47,a bad joke donald sutherland ,1,-25.57556,-13.40703,12.16853
679,53,boss who surprisingly was not,0,          ,-53,-35.33915,-8.71462,26.62453
680,-1,a perfect 10/10,47,the character are so well ,48,-46.44617,-26.37725,20.06892
681,48,and even worse was m,49,even worse was m c ,1,-29.14752,-14.56973,14.57779
682,44,john water best film to,0,          ,-44,-31.91675,-14.02999,17.88676
683,55,for the weak stomached not,53,not too much for the ,-2,-32.46592,-23.73515,8.73077
684,45,sister are excellent choice to,0,          ,-45,-42.18188,-21.21675,20.96513
685,43,and numerous ridiculous difficult situation,45,numerous ridiculous difficult situation in ,2,-39.05444,-19.08331,19.97113
686,49,michael hanneke's funny game i,50,michael funny game i found ,1,-43.08334,-20.06197,23.02137
687,48,music is poor and omar,0,          ,-48,-40.58182,-19.82694,20.75488
688,47,it for best picture justine,50,for best picture is hot ,3,-59.31115,-19.072,40.23915
689,56,all an enjoyable movie which,57,an enjoyable movie which should ,1,-26.07023,-16.4198,9.65043
690,-1,is a waste of your,77,as it is a waste ,78,-31.45831,-29.38457,2.07374
691,43,did an awful job in,76,due to the fact that ,33,-38.97464,-30.01058,8.96406
692,47,i particularly enjoyed the turn,48,particularly enjoyed the turn around ,1,-38.73549,-16.81876,21.91673
693,52,for their excellent chemistry together,53,their excellent chemistry together on ,1,-40.8079,-18.95196,21.85594
694,24,of the best summerslam's ever,46,one of the best ever ,22,-50.25018,-16.42962,33.82056
695,49,but the best effort of,50,the best effort of writer ,1,-44.85355,-19.37597,25.47758
696,45,of the worst movie of,47,worst movie of all time ,2,-41.29772,-20.11192,21.1858
697,46,is quite funny here and,47,quite funny here and there ,1,-34.78802,-12.17782,22.6102
698,71,shows how beautiful catalunya is,72,shows how beautiful is nice ,1,-41.18433,-25.41593,15.7684
699,50,went for great old car,51,for great old car there ,1,-39.8906,-23.77453,16.11607
700,47,does an incredible job as,48,an incredible job as his ,1,-42.47213,-27.72419,14.74794
701,47,biker zombie subtle dolly shot,13,      very nice ,-34,-42.69752,-20.81868,21.87884
702,48,it is funny when you,49,is funny when you stop ,1,-25.06419,-10.77441,14.28978
703,43,what is best for the,0,          ,-43,-31.32196,-2.7049,28.61706
704,45,makes for dull story telling,0,          ,-45,-35.29141,-9.02483,26.26658
705,52,scrappy intermittently funny spoof of,51,    a funny spoof ,-1,-15.31536,-10.06084,5.25452
706,44,i was disappointed to find,45,was disappointed to find out ,1,-25.32634,-18.38036,6.94598
707,-1,for how poor the acting,75,is a shame that little ,76,-36.26341,-31.94009,4.32332
708,63,such a great show if,67,if you do not like ,4,-33.25327,-22.08717,11.1661
709,77,at very best a three,78,very best a three out ,1,-39.43407,-16.79334,22.64073
710,-1,i vote 7/10,61,the character as well was ,62,-49.72362,-34.41342,15.3102
711,59,proper atmosphere unfortunately like many,64,good animated show this one ,5,-53.64983,-21.70454,31.94529
712,52,not the best documantary due,73,good soundtrack it is a ,21,-43.83441,-23.6761,20.15831
713,46,their bond unfortunately mandy schaeffer,59,such a terrible performance that ,13,-42.44814,-18.36226,24.08588
714,-1,is even worse when you,0,          ,1,-25.74906,-25.74906,0
715,-1,one to avoid,0,          ,1,-42.18952,-10.08659,32.10293
716,52,filled with excellent supporting actor,35,    this film had ,-17,-32.17422,-12.72757,19.44665
717,52,of the best amitabh comeback,0,          ,-52,-15.87709,-3.3503,12.52679
718,45,before they waste a dime,46,before they waste a on ,1,-40.91448,-23.35131,17.56317
719,49,acts too funny like a,50,too funny like a small ,1,-37.97382,-15.37143,22.60239
720,47,as well unfortunately she is,48,well unfortunately she is not ,1,-27.32763,-19.12826,8.19937
721,46,he was annoying in this,47,was annoying in this movie ,1,-29.42658,-23.0743,6.35228
722,50,is the best movie about,30,if you do not want ,-20,-29.23531,-19.22365,10.01166
723,46,killed her best scene are,47,her best scene are with ,1,-44.81997,-10.94146,33.87851
724,48,did a fantastic job sean,54,very good in his role ,6,-32.14649,-26.00653,6.13996
725,44,just plain boring as you,29,extremely ridiculous the character are ,-15,-26.60455,-16.95699,9.64756
726,74,film your worst enemy are,75,your worst enemy are in ,1,-48.35732,-16.53558,31.82174
727,53,as an excellent way to,54,an excellent way to present ,1,-20.0941,-13.92378,6.17032
728,43,what a waste of time,44,a waste of time do ,1,-26.06273,-16.9081,9.15463
729,53,for the subtle and organic,54,for the subtle and score ,1,-35.7404,-27.5532,8.1872
730,43,and the beautiful eagle and,0,          ,-43,-28.94024,-18.7345,10.20574
731,46,at its best which it,13,    film with no ,-33,-35.52653,-20.63379,14.89274
732,48,is an excellent series though,49,an excellent series though we ,1,-31.90231,-17.28997,14.61234
733,50,role achingly beautiful in its,51,role beautiful in its of ,1,-50.20799,-25.46479,24.7432
734,46,off more annoying than amusing,47,more annoying than amusing the ,1,-28.68826,-11.52931,17.15895
735,-1,goat is excellent,0,          ,1,-38.83417,-5.16165,33.67252
736,45,are very funny because of,46,very funny because of their ,1,-30.83946,-9.35025,21.48921
737,45,of the best comedy on,44,one of the best comedy ,-1,-44.85108,-22.48214,22.36894
738,44,director with great talent a,0,          ,-44,-36.35561,-11.77161,24.584
739,44,a bit dull but when,54,quite fun to watch the ,10,-37.53114,-16.62309,20.90805
740,44,some very annoying character and,45,very annoying character and a ,1,-22.95994,-7.62196,15.33798
741,-1,unbelievable very disappointing,0,          ,1,-34.05113,-8.13815,25.91298
742,-1,plot less predictable and less,74,do not watch the parent ,75,-71.94302,-34.14253,37.80049
743,78,just a waste of time,69,you could do worse but ,-9,-30.90523,-21.59639,9.30884
744,43,do not waste your money,44,not waste your money on ,1,-23.01278,-14.36384,8.64894
745,43,is an awful movie for,44,an awful movie for the ,1,-20.96451,-15.61811,5.3464
746,74,sequence totally annoying and excessive,76,totally annoying and i hated ,2,-48.51193,-15.19406,33.31787
747,46,category for best explosion soldier,66,an enjoyable experience the military ,20,-34.19223,-19.58413,14.6081
748,-1,a thesp 7/10,0,          ,1,-43.27925,-14.60073,28.67852
749,44,is a badly made slasher,45,a badly made slasher movie ,1,-32.56078,-19.18421,13.37657
750,43,garber are excellent in their,51,recommend this film to anyone ,8,-47.09263,-23.60505,23.48758
751,43,it was funny because as,44,was funny because as i ,1,-37.59805,-24.11467,13.48338
752,-1,had such excellent dialogue i,70,  dialogue i hope rachel ,71,-36.0909,-22.11955,13.97135
753,44,in the worst possible way,45,the worst possible way the ,1,-40.98467,-14.45874,26.52593
754,43,character become annoying some of,44,become annoying some of the ,1,-34.32658,-19.13714,15.18944
755,43,actually kinda predictable talk radio,43,actually kinda predictable talk radio ,0,-22.34005,-22.34005,0
756,-1,trying to best franck in,58,you do not need to ,59,-72.4485,-24.81125,47.63725
757,42,of my favorite as a,0,          ,-42,-38.36193,-1.27027,37.09166
758,76,i really enjoyed it and,77,really enjoyed it and that ,1,-28.1063,-15.50164,12.60466
759,59,is uniformly dull the script,57,bad bad the acting is ,-2,-22.24643,-19.13551,3.11092
760,44,is completely great when you,45,completely great when you see ,1,-33.88447,-23.02466,10.85981
761,42,was a waste not to,31,this one it was due ,-11,-46.02695,-26.09565,19.9313
762,44,is a great rock'n'roll movie,64,as one of the ultimate ,20,-31.56903,-23.1497,8.41933
763,46,and is best friend with,0,          ,-46,-26.95195,-10.96929,15.98266
764,44,watch for funny man ricky,46,for funny man who made ,2,-38.87123,-16.48201,22.38922
765,48,uncut in great condition that,49,in great condition that i ,1,-78.08661,-25.35845,52.72816
766,43,deserve the best picture oscar,44,the best picture oscar so ,1,-42.09058,-24.15234,17.93824
767,50,are not funny either the,51,not funny either the actor ,1,-46.31521,-6.26877,40.04644
768,46,been made fun of for,0,          ,-46,-29.64665,-2.67291,26.97374
769,46,of the best film i,47,the best film i have ,1,-41.6243,-4.92771,36.69659
770,45,a solid if unremarkable,46,  a solid if film ,1,-14.35144,-12.79507,1.55637
771,47,very very funny all of,48,very funny all of the ,1,-23.66109,-9.90391,13.75718
772,47,maybe the best thing about,16,seems funny it is supposed ,-31,-42.5467,-15.77143,26.77527
773,78,it is great groovy retro,0,          ,-78,-46.34879,-11.1934,35.15539
774,50,down as best as he,51,as best as he can ,1,-33.29384,-10.35197,22.94187
775,48,just plain terrible emotionless and,49,just plain terrible and contrived ,1,-22.34331,-19.00746,3.33585
776,45,mild at best and i,46,at best and i spent ,1,-37.86015,-16.99038,20.86977
777,42,some bad review here,43,some bad review here for ,1,-54.76761,-12.80896,41.95865
778,68,is so excellent that you,69,so excellent that you will ,1,-40.62707,-19.03142,21.59565
779,43,due to poor lighting and,44,to poor lighting and horrible ,1,-25.77169,-15.02023,10.75146
780,63,do not waste your time,64,not waste your time my ,1,-26.6683,-17.4903,9.178
781,68,and downright awful 2nd half,69,and downright awful half rating ,1,-43.82972,-18.74032,25.0894
782,-1,john's cool 2/10,76,even worse than ever was ,77,-83.25886,-21.80505,61.45381
783,47,there is worse than this,48,is worse than this there ,1,-25.90387,-12.52559,13.37828
784,-1,this is 8/10,71,i enjoyed this at home ,72,-32.67925,-21.31397,11.36528
785,46,in a cheap action flick,47,a cheap action flick which ,1,-35.92054,-24.07582,11.84472
786,-1,deserved an 8/10 i wish,70,an 8 10 i wish ,71,-42.00137,-19.65564,22.34573
787,43,and a solid cast plus,48,a good score and production ,5,-32.10892,-23.31828,8.79064
788,43,it s funny harmless and,44,it s funny and sweet ,1,-58.67003,-25.28375,33.38628
789,48,this b noir starring ella,76,it is all the way ,28,-45.44355,-27.43189,18.01166
790,49,was rather awful vipul shah's,0,          ,-49,-29.90955,-12.7192,17.19035
791,67,line the best documantary i,36,thing i have to say ,-31,-37.15643,-28.61174,8.54469
792,49,conveying a subtle yet very,50,a subtle yet very i ,1,-31.49914,-21.29932,10.19982
793,-1,is a beautiful thing there,75,the water it was made ,76,-66.25754,-38.99738,27.26016
794,51,with the funny shaped ears,0,          ,-51,-37.62918,-10.45533,27.17385
795,66,life the best story of,67,the best story of these ,1,-45.65254,-20.26298,25.38956
796,52,you will best remember her,0,          ,-52,-37.85841,-0.706,37.15241
797,65,be very funny in particular,66,very funny in particular alan ,1,-21.01686,-13.99583,7.02103
798,50,not that bad but it,51,that bad but it is ,1,-27.21657,-14.30252,12.91405
799,46,a smart surprisingly original movie,47,smart surprisingly original movie about ,1,-40.21981,-18.77753,21.44228
800,53,and imho best film night,53,first and best film night ,0,-27.43926,-27.43926,0
801,75,hate a dull bad horror,77,dull bad horror movie which ,2,-74.96565,-22.22745,52.7382
802,-1,full recommendation 8/10 star,55,them i would have to ,56,-49.93873,-31.41269,18.52604
803,52,had a solid cast a,16,  idea which was to ,-36,-26.84483,-23.2513,3.59353
804,50,is an awful movie this,51,an awful movie this is ,1,-22.18974,-14.68163,7.50811
805,47,of the best thing about,42,jame stewart is truly one ,-5,-42.63728,-25.25792,17.37936
806,42,were actually funny dan cortese,0,          ,-42,-28.29843,-19.14085,9.15758
807,44,entertaining and funny as opposed,45,entertaining and funny as to ,1,-49.52123,-16.0899,33.43133
808,65,some very funny moment in,66,very funny moment in the ,1,-23.2852,-18.74225,4.54295
809,49,was a boring tale about,32,it is the first film ,-17,-38.47098,-23.36284,15.10814
810,44,becomes very boring after 45,0,          ,-44,-35.09578,-10.4752,24.62058
811,45,of the worst movie i,46,the worst movie i have ,1,-41.92689,-8.23876,33.68813
812,47,forget the awful movie from,48,the awful movie from then ,1,-48.75962,-19.30682,29.4528
813,44,of the best horror film,43,one of the best horror ,-1,-39.93211,-19.76319,20.16892
814,44,and the wonderful soundtrack so,14,the few review from the ,-30,-40.22866,-25.41263,14.81603
815,48,gives a great performance as,49,a great performance as one ,1,-40.20101,-25.36966,14.83135
816,69,to be funny sure it,70,be funny sure it has ,1,-38.28022,-17.29719,20.98303
817,-1,among the best comedy ever,51,the same joke twice a ,52,-47.90185,-35.8342,12.06765
818,-1,acting is great the story,72,line especially from the 4 ,73,-42.11432,-34.5613,7.55302
819,47,how much worse it can,48,much worse it can get ,1,-19.2989,-11.40639,7.89251
820,44,is completely wasted in this,45,completely wasted in this film ,1,-31.53329,-10.35947,21.17382
821,46,moss was great in a,47,was great in a true ,1,-61.54841,-19.45329,42.09512
822,69,presenter why waste money on,70,why waste money on a ,1,-56.37292,-16.25317,40.11975
823,46,its too bad that no,47,too bad that no one ,1,-32.77644,-17.57654,15.1999
824,45,there are bad movie then,56,so bad that they become ,11,-27.97461,-13.04533,14.92928
825,43,a complete waste of time,44,complete waste of time but ,1,-22.15807,-12.02075,10.13732
826,49,on the best of term,22,who works as a scientist ,-27,-33.58165,-31.1953,2.38635
827,51,the least annoying my ears,52,the least annoying my may ,1,-50.31858,-19.32826,30.99032
828,49,of her best role seems,50,her best role seems like ,1,-34.01358,-18.92985,15.08373
